2021/10/05  14:44:15,1
2021/10/05  14:45:17,2,0:01:01.950689
2021/10/05  14:45:40,1
2021/10/05  14:46:50,2,0:01:09.466710
2021/10/05  14:47:10,1
2021/10/05  14:47:21,2,0:00:11.091235
2021/10/05  14:47:42,1
2021/10/05  14:48:02,2,0:00:19.419120
2021/10/05  14:48:30,1
2021/10/05  14:48:38,2,0:00:07.976838
2021/10/05  14:48:38,3
2021/10/05  14:49:06,2,0:00:36.477277
2021/10/05  14:49:10,3
2021/10/05  14:49:38,2,0:01:08.586377
2021/10/05  14:49:47,1
2021/10/05  14:49:47,2,0:00:00.254363
2021/10/05  14:50:20,2,0:00:32.714153
2021/10/05  14:50:21,3
2021/10/05  14:50:21,2,0:00:33.727570
2021/10/05  14:50:22,3
2021/10/05  14:50:22,2,0:00:34.840530
2021/10/05  14:50:23,2,0:00:35.945906
2021/10/05  14:50:24,3
2021/10/05  14:50:24,2,0:00:37.060107
2021/10/05  14:50:25,3
2021/10/05  14:50:25,2,0:00:38.180916
2021/10/05  14:50:26,3
2021/10/05  14:50:26,2,0:00:38.889614
2021/10/05  14:50:26,2,0:00:39.293215
2021/10/05  14:50:27,3
2021/10/05  14:50:27,2,0:00:39.700303
2021/10/05  14:50:27,3
2021/10/05  14:50:28,2,0:00:40.608989
2021/10/05  14:50:28,3
2021/10/05  14:51:37,2,0:01:49.623555
2021/10/05  14:54:43,1
2021/10/05  14:54:43,2,0:00:00.160193
2021/10/05  14:57:03,1
2021/10/05  14:57:03,2,0:00:00.256703
2021/10/05  14:57:06,3
2021/10/05  14:57:15,1
2021/10/05  14:57:15,2,0:00:00.156025
2021/10/05  14:57:21,1
2021/10/05  14:57:21,2,0:00:00.166364
2021/10/05  14:57:24,3
2021/10/05  14:57:24,2,0:00:02.789255
2021/10/05  14:57:28,2,0:00:06.799637
2021/10/05  14:58:04,1
2021/10/05  15:01:46,2,0:03:42.698186
2021/10/05  15:02:03,1
2021/10/05  15:02:49,2,0:00:46.194970
2021/10/05  15:02:50,3
2021/10/05  15:02:51,2,0:00:48.113667
2021/10/05  15:02:51,3
2021/10/05  15:02:55,2,0:00:52.436348
2021/10/05  15:02:58,3
2021/10/05  15:02:59,2,0:00:56.761954
2021/10/05  15:03:02,3
2021/10/05  15:03:04,2,0:01:01.285129
2021/10/05  15:03:06,3
2021/10/05  15:03:06,2,0:01:03.701679
2021/10/05  15:03:07,3
2021/10/05  15:03:15,2,0:01:12.336029
2021/10/05  15:03:40,1
2021/10/05  15:03:57,2,0:00:17.296493
2021/10/05  15:04:01,3
2021/10/05  15:06:08,2,0:02:27.955911
2021/10/05  15:08:28,1
2021/10/05  15:08:44,2,0:00:15.909117
2021/10/05  15:08:44,3
2021/10/05  15:08:45,2,0:00:16.731435
2021/10/05  15:08:45,3
2021/10/05  15:08:45,2,0:00:17.144599
2021/10/05  15:08:45,3
2021/10/05  15:08:45,2,0:00:17.452303
2021/10/05  15:08:46,3
2021/10/05  15:08:46,2,0:00:17.762025
2021/10/05  15:08:46,3
2021/10/05  15:08:46,2,0:00:18.070514
2021/10/05  15:08:46,3
2021/10/05  15:08:46,2,0:00:18.377962
2021/10/05  15:08:47,3
2021/10/05  15:08:47,2,0:00:18.697071
2021/10/05  15:08:47,3
2021/10/05  15:08:47,2,0:00:19.105344
2021/10/05  15:08:47,2,0:00:19.408477
2021/10/05  15:08:48,2,0:00:19.711810
2021/10/05  15:08:48,3
2021/10/05  15:08:48,2,0:00:20.020653
2021/10/05  15:08:48,2,0:00:20.323923
2021/10/05  15:08:49,2,0:00:20.627769
2021/10/05  15:08:49,2,0:00:20.930364
2021/10/05  15:08:49,3
