date;time;kinds;mode;duration
2021/06/15 ;14:18:12;1;2;0:00:05.616129
2021/06/15 ;14:18:12;2;2;0:00:05.632288
2021/06/15 ;14:18:52;1;1;0:00:05.616129
2021/06/15 ;14:20:02;1;2;0:01:10.284987
2021/06/15 ;14:26:03;2;2;0:00:00.256324
2021/06/15 ;14:26:03;1;2;0:00:00.259486
2021/06/15 ;14:28:56;1;1;0:00:00.259486
2021/06/15 ;14:30:14;1;2;0:01:18.481690
2021/06/15 ;14:39:40;2;2;0:00:00.223063
2021/06/15 ;14:39:40;1;2;0:00:00.226586
2021/06/15 ;14:40:34;2;1;0:00:00.223063
2021/06/15 ;14:41:48;2;2;0:01:14.710487
2021/06/15 ;14:42:01;2;1;0:01:14.710487
2021/06/15 ;14:43:09;2;2;0:01:07.842543
2021/06/15 ;14:52:52;1;2;0:00:00.201426
2021/06/15 ;14:52:52;2;2;0:00:00.204022
2021/06/15 ;14:54:31;1;1;0:00:00.201426
2021/06/15 ;14:54:55;2;1;0:00:00.204022
2021/06/15 ;14:55:43;2;2;0:00:47.599541
2021/06/15 ;14:55:51;1;2;0:01:19.676600
2021/06/15 ;14:57:39;1;1;0:01:19.676600
2021/06/15 ;14:58:49;1;2;0:01:10.774781
2021/06/15 ;14:58:51;1;3;0:01:10.774781
2021/06/15 ;14:59:47;1;2;0:02:08.512330
2021/06/15 ;15:00:59;2;2;0:00:00.204628
2021/06/15 ;15:00:59;1;2;0:00:00.207709
2021/06/15 ;15:01:40;1;1;0:00:00.207709
2021/06/15 ;15:02:55;1;2;0:01:15.607348
2021/06/15 ;15:03:01;1;1;0:01:15.607348
2021/06/15 ;15:04:10;1;2;0:01:09.472063
2021/06/15 ;15:05:43;1;2;0:00:00.171685
2021/06/15 ;15:05:43;2;2;0:00:00.158419
2021/06/15 ;15:06:34;1;1;0:00:00.171685
2021/06/15 ;15:07:49;1;2;0:01:14.791084
2021/06/15 ;15:08:23;1;1;0:01:14.791084
2021/06/15 ;15:09:35;1;2;0:01:12.464101
2021/06/15 ;15:13:10;1;1;0:01:12.464101
2021/06/15 ;15:14:27;1;2;0:01:17.405098
2021/06/15 ;15:16:43;2;2;0:00:00.189818
2021/06/15 ;15:16:43;1;2;0:00:00.204191
2021/06/15 ;15:16:53;1;1;0:00:00.204191
2021/06/15 ;15:16:55;2;1;0:00:00.189818
2021/06/15 ;15:18:03;2;2;0:01:07.435629
2021/06/15 ;15:18:04;1;2;0:01:11.053836
2021/06/15 ;15:18:08;2;1;0:01:07.435629
2021/06/15 ;15:18:09;1;1;0:01:11.053836
2021/06/15 ;15:19:16;1;2;0:01:06.991197
2021/06/15 ;15:19:17;2;2;0:01:09.087952
2021/06/15 ;15:19:29;2;1;0:01:09.087952
2021/06/15 ;15:19:31;1;1;0:01:06.991197
2021/06/15 ;15:20:48;2;2;0:01:19.247808
2021/06/15 ;15:20:49;1;2;0:01:18.327996
2021/06/15 ;15:21:37;1;2;0:00:00.193189
2021/06/15 ;15:21:37;2;2;0:00:00.193245
2021/06/15 ;15:26:40;1;1;0:00:00.193189
2021/06/15 ;15:26:42;2;1;0:00:00.193245
2021/06/15 ;15:27:59;1;2;0:01:18.974975
2021/06/15 ;15:28:00;2;2;0:01:17.901877
2021/06/15 ;15:32:16;1;2;0:00:16.221709
2021/06/15 ;15:32:17;2;2;0:00:16.321090
2021/06/15 ;15:32:27;1;1;0:00:16.221709
2021/06/15 ;15:33:05;2;1;0:00:16.321090
2021/06/15 ;15:34:11;2;2;0:01:06.943856
2021/06/15 ;15:34:12;1;2;0:01:45.746916
2021/06/15 ;15:34:16;1;3;0:01:45.746916
2021/06/15 ;15:34:19;2;1;0:01:06.943856
2021/06/15 ;15:34:31;1;2;0:02:04.166935
2021/06/15 ;15:34:33;1;3;2.0
2021/06/15 ;15:34:34;1;2;0:02:07.566768
2021/06/15 ;15:39:12;2;2;0:04:53.158027
2021/06/15 ;15:41:35;2;2;0:00:00.237848
2021/06/15 ;15:41:35;1;2;0:00:00.240116
2021/06/15 ;15:42:43;2;1;0:00:00.237848
2021/06/15 ;15:44:12;2;2;0:01:28.840464
2021/06/15 ;15:46:21;1;2;0:00:11.321612
2021/06/15 ;15:46:21;2;2;0:00:11.321805
2021/06/15 ;15:46:58;1;1;0:00:11.321612
2021/06/15 ;15:48:10;1;2;0:01:12.270991
2021/06/15 ;15:48:13;2;1;0:00:11.321805
2021/06/15 ;15:49:21;2;2;0:01:08.268011
2021/06/15 ;15:50:00;2;2;0:00:00.201488
2021/06/15 ;15:50:00;1;2;0:00:00.206450
2021/06/15 ;15:52:42;2;1;0:00:00.201488
2021/06/15 ;15:52:43;2;2;0:00:00.515412
2021/06/15 ;15:52:47;2;3;0:00:00.515412
2021/06/15 ;15:54:06;2;2;0:01:23.186695
2021/06/15 ;15:54:47;1;2;0:00:00.208787
2021/06/15 ;15:54:47;2;2;0:00:00.209191
2021/06/16 ;13:36:15;2;2;0:00:00.212947
2021/06/16 ;13:36:15;1;2;0:00:00.216817
2021/06/16 ;13:36:56;1;1;0:00:00.216817
2021/06/16 ;13:36:59;2;1;0:00:00.212947
2021/06/16 ;13:38:10;2;2;0:01:11.666838
2021/06/16 ;13:38:11;2;3;0:01:11.666838
2021/06/16 ;13:38:12;1;2;0:01:15.897836
2021/06/16 ;13:38:13;1;3;0:01:15.897836
2021/06/16 ;13:39:49;1;2;0:02:52.896284
2021/06/16 ;13:39:52;2;2;0:02:53.144356
2021/06/16 ;13:58:21;2;2;0:00:00.206332
2021/06/16 ;13:58:21;1;2;0:00:00.209991
2021/06/16 ;13:58:58;1;1;0:00:00.209991
2021/06/16 ;13:58:59;2;1;0:00:00.206332
2021/06/16 ;14:00:11;1;2;0:01:13.540991
2021/06/16 ;14:00:12;2;2;0:01:13.439617
2021/06/16 ;14:00:27;1;1;0:01:13.540991
2021/06/16 ;14:00:29;2;1;0:01:13.439617
2021/06/16 ;14:01:36;1;2;0:01:09.069051
2021/06/16 ;14:01:39;2;2;0:01:10.170970
2021/06/16 ;14:01:40;2;3;0:01:10.170970
2021/06/16 ;14:02:45;2;2;0:02:16.398667
2021/06/16 ;14:03:25;2;2;0:00:00.221789
2021/06/16 ;14:03:25;1;2;0:00:00.225184
2021/06/16 ;14:04:58;1;1;0:00:00.225184
2021/06/16 ;14:05:00;2;1;0:00:00.221789
2021/06/16 ;14:06:18;1;2;0:01:19.911093
2021/06/16 ;14:06:19;1;3;0:01:19.911093
2021/06/16 ;14:07:05;2;2;0:02:04.379954
2021/06/16 ;14:07:05;1;2;0:02:07.407570
2021/06/16 ;14:07:36;1;1;2.0
2021/06/16 ;14:07:37;2;1;2.0
2021/06/16 ;14:08:55;1;2;0:01:18.766264
2021/06/16 ;14:08:55;2;2;0:01:18.287032
2021/06/16 ;14:06:01;2;2;0:00:08.715692
2021/06/16 ;14:06:01;1;2;0:00:08.715854
2021/06/16 ;14:14:44;1;1;0:00:08.715854
2021/06/16 ;14:13:55;2;2;0:00:06.101388
2021/06/16 ;14:13:55;1;2;0:00:06.109325
2021/06/16 ;14:14:15;1;1;0:00:06.109325
2021/06/16 ;14:14:16;2;1;0:00:06.101388
2021/06/16 ;14:17:38;1;2;0:03:22.789185
2021/06/16 ;14:17:39;2;2;0:03:22.912879
2021/06/16 ;14:28:20;1;2;0:00:00.222667
2021/06/16 ;14:28:20;2;2;0:00:00.225632
2021/06/16 ;14:29:17;1;1;0:00:00.222667
2021/06/16 ;14:29:22;1;2;0:00:04.506290
2021/06/16 ;14:29:21;2;2;0:00:05.278033
2021/06/16 ;14:29:21;1;2;0:00:05.295717
2021/06/16 ;14:29:23;2;3;0:00:05.278033
2021/06/16 ;14:29:25;1;3;0:00:05.295717
2021/06/16 ;14:30:51;2;2;0:01:35.265439
2021/06/16 ;14:30:52;1;2;0:01:36.274852
2021/06/16 ;14:30:56;1;3;0:01:36.274852
2021/06/16 ;14:31:03;2;1;0:01:35.265439
2021/06/16 ;14:31:36;1;2;0:02:20.452562
2021/06/16 ;14:31:39;1;3;2.0
2021/06/16 ;14:32:08;2;2;0:01:05.570552
2021/06/16 ;14:32:48;1;2;0:03:32.450665
2021/06/16 ;14:33:23;1;1;0:03:32.450665
2021/06/16 ;14:33:24;2;1;0:01:05.570552
2021/06/16 ;14:34:32;2;2;0:01:08.008578
2021/06/16 ;14:34:34;2;3;0:01:08.008578
2021/06/16 ;14:34:34;1;2;0:01:10.815325
2021/06/16 ;14:34:34;1;3;0:01:10.815325
2021/06/16 ;14:35:30;2;2;0:02:05.746631
2021/06/16 ;14:35:31;1;2;0:02:07.829479
2021/06/16 ;18:10:47;2;2;0:00:00.210397
2021/06/16 ;18:10:47;1;2;0:00:00.216759
2021/06/17 ;09:45:03;2;2;0:00:00.217377
2021/06/17 ;09:45:03;1;2;0:00:00.219213
2021/06/17 ;09:54:25;2;2;0:00:00.233230
2021/06/17 ;09:54:25;1;2;0:00:00.235975
2021/06/17 ;09:55:17;2;1;0:00:00.233230
2021/06/17 ;09:55:17;2;2;0:00:00.774854
2021/06/17 ;09:56:42;2;1;0:00:00.774854
2021/06/17 ;09:56:43;2;2;0:00:00.794303
2021/06/17 ;09:57:27;1;2;0:00:00.220557
2021/06/17 ;09:57:27;2;2;0:00:00.225489
2021/06/17 ;09:58:24;2;1;0:00:00.225489
2021/06/17 ;09:58:25;1;1;0:00:00.220557
2021/06/17 ;09:59:31;2;2;0:01:07.147620
2021/06/17 ;09:59:32;1;2;0:01:07.249770
2021/06/17 ;10:01:08;1;1;0:01:07.249770
2021/06/17 ;10:02:29;1;2;0:01:21.474185
2021/06/17 ;10:09:38;2;2;0:00:00.213625
2021/06/17 ;10:09:38;1;2;0:00:00.231563
2021/06/17 ;10:09:44;1;1;0:00:00.231563
2021/06/17 ;10:09:46;2;1;0:00:00.213625
2021/06/17 ;10:10:50;1;2;0:01:06.888493
2021/06/17 ;10:10:52;2;2;0:01:05.630454
2021/06/17 ;11:40:49;1;2;0:00:00.223497
2021/06/17 ;11:40:49;2;2;0:00:00.223279
2021/06/18 ;18:12:26;2;2;0:00:00.169352
2021/06/18 ;18:12:26;1;2;0:00:00.216020
2021/06/18 ;18:12:38;2;1;0:00:00.169352
2021/06/18 ;18:13:47;2;2;0:01:08.886805
2021/06/18 ;18:18:37;2;2;0:00:00.215969
2021/06/18 ;18:18:37;1;2;0:00:00.218334
2021/06/21 ;09:40:54;2;2;0:00:04.487679
2021/06/21 ;09:40:54;1;2;0:00:04.492165
2021/06/21 ;09:41:37;2;1;0:00:04.487679
2021/06/21 ;09:41:38;2;2;0:00:01.216595
2021/06/21 ;09:41:49;2;2;0:00:00.222383
2021/06/21 ;09:41:49;1;2;0:00:00.245324
2021/06/21 ;09:45:49;1;1;0:00:00.245324
2021/06/21 ;09:45:51;2;1;0:00:00.222383
2021/06/21 ;09:46:57;1;2;0:01:07.780798
2021/06/21 ;09:47:00;1;3;0:01:07.780798
2021/06/21 ;09:48:15;2;2;0:02:39.691032
2021/06/21 ;09:48:32;1;2;0:02:43.029405
2021/06/21 ;09:48:40;1;1;2.0
2021/06/21 ;09:48:44;2;1;2.0
2021/06/21 ;09:50:02;1;2;0:01:19.861103
2021/06/21 ;09:50:52;2;2;0:02:08.184951
2021/06/21 ;09:56:24;2;1;2.0
2021/06/21 ;09:56:27;2;2;0:00:03.217368
2021/06/21 ;10:05:00;2;2;0:00:00.232741
2021/06/21 ;10:05:00;1;2;0:00:00.233978
2021/06/21 ;17:47:19;1;2;0:00:00.238391
2021/06/21 ;17:47:19;2;2;0:00:00.238373
2021/06/21 ;17:50:54;1;1;0:00:00.238391
2021/06/21 ;17:50:54;1;2;0:00:00.692773
2021/06/21 ;17:51:06;1;1;0:00:00.692773
